venue,opposition,match_type,season,recent_runs,recent_strike_rate,recent_average,opposition_strength,venue_performance,runs_scored,recent_wickets,recent_economy,wickets_taken
M Chinnaswamy Stadium,MI,T20,2024,45,150.0,35.5,0.8,0.7,38,2,8.5,1
Eden Gardens,CSK,T20,2024,32,140.0,30.2,0.7,0.6,25,3,7.8,2
Wankhede Stadium,RCB,T20,2024,55,160.0,40.5,0.9,0.8,42,1,9.2,0
Narendra Modi Stadium,KKR,T20,2024,28,145.0,28.5,0.6,0.5,22,4,7.5,3
M Chinnaswamy Stadium,DC,T20,2024,50,155.0,38.2,0.8,0.7,45,2,8.8,1
Eden Gardens,RR,T20,2024,35,148.0,32.5,0.7,0.6,30,3,8.0,2
Wankhede Stadium,PBKS,T20,2024,48,158.0,36.8,0.8,0.7,40,2,8.5,1
Narendra Modi Stadium,SRH,T20,2024,42,152.0,34.5,0.7,0.6,35,3,7.9,2
M Chinnaswamy Stadium,LSG,T20,2024,38,146.0,31.5,0.6,0.5,32,4,7.7,3
Eden Gardens,GT,T20,2024,52,162.0,39.8,0.9,0.8,45,1,9.0,0 
